bodyId_pre,bodyId_post,weight
556329,816721,15
12781,810738,15
556329,804513,15
556329,121953,15
556329,807191,15
556329,809614,15
556329,810131,15
556329,807955,15
556329,804377,15
556329,805176,15
556329,81935,15
12781,812356,15
556329,808490,15
556329,809327,15
12781,802331,15
556329,816295,15
556329,800180,15
12781,812378,15
556329,815049,15
556329,515724,15
12781,802056,15
556329,815874,14
556329,815644,14
556329,816524,14
556329,804718,14
556329,809252,14
12781,27599,14
556329,811041,14
556329,832667,14
556329,803882,14
12781,30366,14
556329,810139,14
12781,804498,14
556329,1076768749,14
12781,805696,14
556329,816109,14
556329,814077,14
556329,813600,14
12781,815676,14
556329,904803,14
12781,815386,14
12781,905890,14
12781,912023,14
12781,1064623201,14
12781,818617,14
12781,811601,14
556329,802761,14
556329,183851,14
556329,812266,14
556329,908238,14
556329,808560,14
12781,812999,14
12781,812566,14
12781,812643,14
12781,812784,14
556329,812552,14
556329,20644,14
12781,812922,14
12781,816981,14
556329,812917,14
556329,814937,14
556329,816993,13
12781,810366,13
12781,810599,13
556329,42580,13
556329,825572,13
556329,818521,13
556329,802708,13
556329,520130,13
556329,815992,13
556329,806766,13
556329,816909,13
556329,810168,13
556329,815800,13
12781,812657,13
556329,36948,13
556329,812688,13
556329,813591,13
12781,919615,13
556329,11239,13
12781,817202,13
12781,816267,13
12781,903100,13
12781,903151,13
556329,815051,13
556329,813976,13
12781,816056,13
12781,813228,13
12781,813934,13
12781,814187,13
556329,904025,13
556329,814398,13
556329,814547,13
556329,810519,13
556329,954670,13
556329,909578,13
556329,909758,12
12781,805783,12
12781,15993,12
12781,809795,12
556329,813086,12
12781,904110,12
12781,808164,12
12781,806202,12
12781,814354,12
12781,814095,12
556329,814215,12
556329,814236,12
12781,815015,12
12781,522310,12
12781,817470,12
12781,813340,12
12781,524245,12
12781,813847,12
12781,813812,12
556329,815937,12
556329,111673,12
556329,91163,12
12781,810921,12
12781,812366,12
556329,802199,12
556329,800669,12
556329,49096,12
12781,800537,12
556329,26519,12
12781,812105,12
556329,817411,12
556329,812862,12
12781,910455,12
12781,812992,12
12781,902507,12
12781,903990,12
12781,811699,12
556329,807546,12
556329,804694,12
556329,803774,12
556329,803525,12
